Sentence,Classified_Score
khalnayak gachyal jungle madhye god gondhal karun zop ghetoy,-3
garib lokana gaurav asava he changla guna aahe khunas karun garva thevayla nako,0
changla jevan chamakdar kapde ani god zaga milali tar jindagi khushkhabar aahe,3
jungle madhye jiraf gondas ani guni jivant aslyamule jivsrushti chamatkar aahe,2
khunas karayla ghabrat aslelya khalnayak la shevti jeet milali nahi,-2
gadhul gharat god zaga shodhun guni lokanni jimmedar jagrut rahile pahije,-1
jamin varil jivanu jeernoddhar karnyasathi jaivik ghol vaparataat,-2
joshane bharlelya jawan lokana jimkhana madhye jeet milali,-1
jamin varil jalpralayane ghor ghanerda jhalela,-2
jungle madhye god jaga shodhun garib lok zop ghet hote,0
changla jevan chamatkar jadu ani god gungat jhalyasarkhe vatle,2
khunasacha khulas khushkhabar asel tari garib lokana nyay milala pahije,0
jahir zalela ghor khunas pahila garib lok ghabrat hote,-3
jungle madhye guni shikari jiraf shikar karnyasathi god jaga shodhtoy,1
guni vyakti changla jevan banvat astil tar garva thevayla harakat nahi,1
ghor khunas ghungat madhye jhala khalnayak god zaga shodhun potachala,-2
jungle madhye zalela gondhal khalnayakache kaary aahe he jahir zale,-2
changla jevan chamakdar kapde ani god zaga milali tar jindagi khushkhabar aahe,3
garib lokana jamin milali he khushkhabar aahe khunasachi chinta nahi karaychi,-1
jungle madhye jiraf ani god jivanu chamatkar disat hote,1
khalnayak god jungle madhye zop ghetoy jamin var jeern kapde taktoy,-1
joshane bharlelya jawan lokana jeet milali changla jevan jhala,1
ghor jalpralayane jamin varil ghar god jhale,-1
guni lok ghor chinta karataat jevan changla banvat nahi,-1
khushkhabar aali ki khunasache ghungat utarach jhale,1
jahaj madhun pahile god zalka jag disla,0
joshane bharlela jawan jungle madhye jiraf shodhat hota,-1
jungle madhye jevan shodhnyasathi guni lok god jaga shodhtaat,1
jamin var god gondhal jhala khalnayakane ghor khunas kela,-2
changla jevan milala jivhala tar khushkhabar aali ase vatale,2
god jaga milel ka ya chinta ne garib lok ghabrat hote,-1
jahaj ne jalparyatan kela jungle javal jaun pohachla,-1
jamin var god ghar bagayla jivant ase pahije,0
jamin var jhalela jalpralay ghor hota khup god zaga budali,-1
garib lokana jamin milali he khushkhabar aahe,0
jungle madhye gondhal jhala jiraf ghabrat hota,-2
jivant rahayla changla jevan ani god zaga pahije,1
jahir jhalela khunas god hota,-1
jungle madhye jiraf shodhatana guni lokana jeet milali,0
god jamin milali tar ghar banavel,0
jalpralayane ghor nuksan jhale,-1
khalnayak gachyal hota khunasane ghabrat nahi hota,-3
jungle madhye jivant rahayla guni asave lagel,0
changla jevan banavayla shikayche garva nahi karaycha,0
garib lok khush hote jevha tyana jamin milali,-1
jamin var god jaga shodhun ghar banvayche aahe,0
jungle madhye zop ghalun jivant rahayche aahe,-1
khalnayaka la jeet milali nahi khunasacha khulas jhala,-1
jahaj ne prayatan kela god jungle disle,0
ghor jalpralayane garib lok ghabrat hote,-2
changla jevan khup sukhad zala,1
ha kharach chamatkar aahe avismarniya anubhav,1
ghanerda ghatana ghadli khup dukha zale,-2
hee jaga khup sundar aahe saundarya pahayla pahije,-1
apghatachi mla khup chinta aahe ghabrat vatte,-2
he jevan utkrushta aahe chamatkar aahe,2
aaj khup udas aahe nirasha vatte,-2
he lok khup guni aahet tyana gaurav milala pahije,1
jungle madhye jau nka dhokadayak aahe,-1
ha khup motha apman aahe ashobhaniya aahe,-2
nutan vastr khup chamakdar aahet,0
atyachar kharab aahe nishedh karayala pahije,-2
avismarniya prayatan khup aanand zala,0
apradh karu naye nantar pashchattap hoil,-1
abhinandan karayche aahe khup changla kaam kela,2
adbhut kala manorugn lokana madat hote,1
andharat ghabrat vatte jyoti pahije,-1
anukul paristhiti aahe pragat zali pahije,0
anyay zala nyay milala pahije,-2
ashlil goshti asabhya vatate,-3
aishwarya sampadan purna yogdan,0
komal swar sangeet madhye maja yete,0
krur vyakti khunas karayla ghabrat nahi,-2
kathin kaam cheshta karun purn kela,-1
kimmat bahu aahe amulya aahe,0
khatarnak jungle jivant rahayla kathin,-2
khuli jaga god vayu yet aahe,0
gammat aahe khup hasane zale,0
ghor sankat sahayak pahije,-1
gaurav milala khup aanand zala,1
ghruna vatte aswacha vatate,-2
changla sandesh lokanna protsahan milale,1
chinta vatte samasya kahi utar nahi,-1
jabardasti karu naye anyay hoil,-2
jeet milali khup jallosh zala,-1
jalpralay jhala khup ghanerda jhali,-2
jawan mulga khup utsaha aahe,1
jivant rahayla jevan pahije,-1
jidnyasa aahe vidya milel,-1
jeern ghar jeernoddhar karaycha aahe,-1
josh aahe kaam purn hoil,-1
zagmag kapde khup chamakdar disat aahet,0
zatka basla ghabrat vatte,-1
zindabaad mhanayche aahe khup aanand aahe,-1
takrar karu naye shant raha,-1
tandurust aahe vyayam karato,-1
tayar aahe navin kaam suru karayche,-1
tarksangat bolat aahe kharach nahi,-1
tallakh aahe abhyas karaycha aahe,-1
titkara vatte kharab goshti aikat aahet,-2
udas din nirasha vatte aahe,-2
utkrushta karya abhinandan karayche aahet,2
uttam vastr khup kimmat aahet,1
utsaha aahe notke kaam purn hoil,1
upkar kela dhanyawad denar aahe,0
urja aahe kaam karayla shakti aahe,0
ekta aahe jeet nischit aahe,-1
aakarshak vyaktimatva lokanna aavadte,0
aajari aahe visranti ghenar aahe,-1
aathank aahe bhiti vatte aahe,-1
aadarnuya vyakti sanman karaycha aahe,-1
aanand aahe khushkhabar milali,1
aapteshta aahe madat kartil,0
aarop aahe nyay milala pahije,-1
avismarniya sohala khup maja aali,0
kauchlya aahet nipun aahe,-1
karkash bolne dukha vatte,-1
kalpak yug sarv sukhi hote,0
kushal aahe tandurust aahe,-1
krudh aahe shant raha,-2
god bhagya changla jhala,1
gorapan kart aahe asabhya vatate,-1
ghanta vajla suru karayche aahe,-1
ghat sthali khatarnak aahe,-2
chugli karu naye kharab aahe,-2
chestha karun paha jeet milal,-1
jungle safari maja aali,-1
jahar aahe dur raha,-1
jahir karayche aahe sarvanna kalave lagel,-1
jindagi khup sundar aahe anand ghe,-1
jiddi aahe manane kathin,-1
jimmedar aahe kaam purn karel,-1
jivhala aahe jevan khau shakto,-1
jeernoddhar karaycha aahe juna ghar navin karayche,-1
jokhim aahe savdhan raha,-1
josh aahe kaam karayla tayar aahe,-1
jyeshtha aahe sanman karaycha aahe,-1
zagmag diste aahe chamakdar aahe,0
zal zal mhan pashchattap karu naye,-1
zikzik aahe swachata pahije,-1
takkar jhali ghav zala,-1
tantanit aahe savdhan raha,-1
tikau aahe himmat aahe,-1
tumdaar aahe garva aahe,-1
tekdi varun sundar diste,-1
tham aahe aaram kar,-1
thik aahe chinta karu naye,-1
dauldaar aahe bhavya diste,-1
dhabdaar aahe khup vajan aahe,-1
taktaki aahe tez aahe,-1
takrar zali napasanti zali,-1
tagmag kartoy bhiti vatte,-1
tajeldaar aahe netka aahe,-1
tatastha raha vait vatnaar nahi,-1
tanta zali gondhal zala,-2
tadakha aahe bhiti vatte,-1
tadipaar zala dur gela,-1
tanaav aahe shant raha,-1
tarbez aahe shikshan milel,-1
tarkvisangat aahe yukti lav,-1
tallakh aahe abhyas kar,-1
taltalat aahe dukha vatte,-1
takadwan aahe shakti aahe,-1
taajatawana bharava lagel,-1
taala lavla surakshit aahe,-1
titkara vatte dukhache aahe,-1
tidha bol spasht bol,0
tiraskar zala napasanti zali,-1
tuchha vatate apman zala,-1
tutvada aahe najuk aahe,-1
tulana karu naye saman nahi aahet,-1
trupt aahe santosh aahe,-1
